source_table,source_sheet,source_column,series_name,region,subregion,product,metric,unit,period_type
NUS,Data 6,WO3ST_NUS_1,weekly U.S. Ending Stocks of Reformulated RBOB with Alcohol Gasoline Blending Components,U.S.,,Ending Stocks of Reformulated RBOB with Alcohol Gasoline Blending Components,Ending Stocks of Reformulated RBOB with Alcohol Gasoline Blending Components,Thousand Barrels,weekly
NUS,Data 6,WO4ST_NUS_1,weekly U.S. Ending Stocks of Reformulated RBOB with Ether Gasoline Blending Components,U.S.,,Ending Stocks of Reformulated RBOB with Ether Gasoline Blending Components,Ending Stocks of Reformulated RBOB with Ether Gasoline Blending Components,Thousand Barrels,weekly
NUS,Data 6,W_EPC0_SAX_NUS_MBBL,weekly U.S. Ending Stocks excluding SPR and including Lease Stock of Crude Oil,U.S.,,Ending Stocks excluding SPR and including Lease Stock of Crude Oil,Ending Stocks excluding SPR and including Lease Stock of Crude Oil,Thousand Barrels,weekly
NUS,Data 6,W_EPLLPZ_SAE_NUS_MBBL,weekly U.S. Ending Stocks of Propane and Propylene,U.S.,,Ending Stocks of Propane and Propylene,Ending Stocks of Propane and Propylene,Thousand Barrels,weekly
NUS,Data 7,W_EPC0_VSD_NUS_DAYS,weekly U.S. Days of Supply of Crude Oil excluding SPR,U.S.,,Days of Supply of Crude Oil excluding SPR,Days of Supply of Crude Oil excluding SPR,Number of Days,weekly
NUS,Data 7,W_EPD0_VSD_NUS_DAYS,weekly U.S. Days of Supply of Total Distillate,U.S.,,Days of Supply of Total Distillate,Days of Supply of Total Distillate,Number of Days,weekly
NUS,Data 7,W_EPJK_VSD_NUS_DAYS,weekly U.S. Days of Supply of Kerosene-Type Jet Fuel,U.S.,,Days of Supply of Kerosene-Type Jet Fuel,Days of Supply of Kerosene-Type Jet Fuel,Number of Days,weekly
NUS,Data 7,W_EPLLPZ_VSD_NUS_DAYS,weekly U.S. Days of Supply of Propane/Propylene,U.S.,,Days of Supply of Propane/Propylene,Days of Supply of Propane/Propylene,Number of Days,weekly
NUS,Data 7,W_EPM0_VSD_NUS_DAYS,weekly U.S. Days of Supply of Total Gasoline,U.S.,,Days of Supply of Total Gasoline,Days of Supply of Total Gasoline,Number of Days,weekly
NUS,Data 8,WO3IM_NUS-Z00_2,weekly U.S. Imports of Reformulated RBOB with Alcohol Gasoline Blending Components,U.S.,,Imports of Reformulated RBOB with Alcohol Gasoline Blending Components,Imports of Reformulated RBOB with Alcohol Gasoline Blending Components,Thousand Barrels per Day,weekly
NUS,Data 8,WO4IM_NUS-Z00_2,weekly U.S. Imports of Reformulated RBOB with Ether Gasoline Blending Components,U.S.,,Imports of Reformulated RBOB with Ether Gasoline Blending Components,Imports of Reformulated RBOB with Ether Gasoline Blending Components,Thousand Barrels per Day,weekly
PSW01,Data 2,WCESCUS2,weekly U.S. Crude Oil Stock Change Excluding SPR,U.S.,,Crude Oil Stock Change Excluding SPR,Crude Oil Stock Change Excluding SPR,Thousand Barrels per Day,weekly
PSW01,Data 2,WCRAUUS2,weekly U.S. Unaccounted for Crude Oil,U.S.,,Unaccounted for Crude Oil,Unaccounted for Crude Oil,Thousand Barrels per Day,weekly
PSW01,Data 2,WCSSCUS2,weekly U.S. Crude Oil SPR Stock Change,U.S.,,Crude Oil SPR Stock Change,Crude Oil SPR Stock Change,Thousand Barrels per Day,weekly
PSW01,Data 2,WPESCUS2,weekly U.S. Total Petroleum Products Stock Change,U.S.,,Total Petroleum Products Stock Change,Total Petroleum Products Stock Change,Thousand Barrels per Day,weekly
PSW01,Data 2,WPGNPUS2,weekly U.S. Refiner and Blender Processing Gain,U.S.,,Refiner and Blender Processing Gain,Refiner and Blender Processing Gain,Thousand Barrels per Day,weekly
PSW01,Data 2,W_EPC0NG_TVP_NUS_MBBLD,weekly U.S. Transfers to Crude Oil Supply of Crude Oil,U.S.,,Transfers to Crude Oil Supply of Crude Oil,Transfers to Crude Oil Supply of Crude Oil,Thousand Barrels per Day,weekly
PSW01,Data 2,W_EPC0_SCG_NUS_MBBLD,weekly U.S. Crude Oil Stock Change,U.S.,,Crude Oil Stock Change,Crude Oil Stock Change,Thousand Barrels per Day,weekly
PSW01,Data 2,W_EPC0_TVP_NUS_MBBLD,weekly U.S. Transfers to Crude Oil Supply of Crude Oil,U.S.,,Transfers to Crude Oil Supply of Crude Oil,Transfers to Crude Oil Supply of Crude Oil,Thousand Barrels per Day,weekly
PSW01,Data 2,W_EPL0_YPG_NUS_MBBLD,weekly U.S. Production of Natural Gas Plant Liquids,U.S.,,Production of Natural Gas Plant Liquids,Production of Natural Gas Plant Liquids,Thousand Barrels per Day,weekly
PSW01,Data 2,W_EPLLCL2A_TVP_NUS_MBBLD,weekly U.S. Transfers to Crude Oil Supply of Condensate Production and Alaskan NGL,U.S.,,Transfers to Crude Oil Supply of Condensate Production and Alaskan NGL,Transfers to Crude Oil Supply of Condensate Production and Alaskan NGL,Thousand Barrels per Day,weekly
PSW01,Data 2,W_EPLLNGPU_TVP_NUS_MBBLD,weekly U.S. Transfers to Crude Oil Supply of Natural Gasoline and Unfinished Oils Product Supplied,U.S.,,Transfers to Crude Oil Supply of Natural Gasoline and Unfinished Oils Product Supplied,Transfers to Crude Oil Supply of Natural Gasoline and Unfinished Oils Product Supplied,Thousand Barrels per Day,weekly
PSW01,Data 2,W_EPOOXR_YPT_NUS_MBBLD,weekly U.S. Net Production of Oxygenates and Renewable Fuels,U.S.,,Net Production of Oxygenates and Renewable Fuels,Net Production of Oxygenates and Renewable Fuels,Thousand Barrels per Day,weekly
PSW01,Data 2,W_EPP0_VUA_NUS_MBBLD,weekly U.S. Supply Adjustment of Total Petroleum (Excluding Crude Oil),U.S.,,Supply Adjustment of Total Petroleum (Excluding Crude Oil),Supply Adjustment of Total Petroleum (Excluding Crude Oil),Thousand Barrels per Day,weekly
PSW01,Data 2,W_EPP1_YPT_NUS_MBBLD,"weekly U.S. Refiner and Blender Net Production of Petroleum Products less Natural Gas Plant Liquids, Renewable Fuels/Oxygenate Plant, and Refinery Processing Gain",U.S.,,"Refiner and Blender Net Production of Petroleum Products less Natural Gas Plant Liquids, Renewable Fuels/Oxygenate Plant, and Refinery Processing Gain","Refiner and Blender Net Production of Petroleum Products less Natural Gas Plant Liquids, Renewable Fuels/Oxygenate Plant, and Refinery Processing Gain",Thousand Barrels per Day,weekly
